"lang"
{
  "Language"    "tchinese"
  "Tokens"
  {
    // General text used in various places
    "TTT_TRAITOR"                     "叛徒"
    "TTT_DETECTIVE"                   "探長"
    "TTT_INNOCENT"                    "無辜者"
    "TTT_LAST_WORDS"                  "遺言"
    "TTT_TERRORISTS"                  "恐怖分子"
    "TTT_SPECTATORS"                  "旁觀者"
    // Round status messages
    "TTT_ROUND_MINPLAYERS"            "沒有足夠的玩家來開始新的回合…"
    "TTT_ROUND_BEGINTIME"             "新回合將在 %d 秒後開始。請做好準備。"
    "TTT_ROUND_SELECTED"              "叛徒玩家已選出"
    "TTT_ROUND_STARTED"               "回合開始！"
    "TTT_ROUND_RESTART"               "遊戲被管理員強制重新開始。"
    "TTT_ROUND_TRAITORS_ONE"          "叛徒，您得自己頂住了。"
    "TTT_ROUND_TRAITORS_MORE"         "叛徒，您的隊友是： %s 。"
    "TTT_WIN_TIME"                    "時間用盡，叛徒失敗了。"
    "TTT_WIN_TRAITOR"                 "叛徒取得了勝利！"
    "TTT_WIN_INNOCENT"                "叛徒們被擊敗了！"
    "TTT_WIN_SHOWREPORT"              "一起觀看觀看 %d 秒的回合總結吧！"
    "TTT_LIMIT_ROUND"                 "已達遊戲回合上限，接著將載入地圖 %s"
    "TTT_LIMIT_TIME"                  "已達遊戲時間上限，接著將載入地圖 %s"
    "TTT_LIMIT_LEFT"                  "在載入地圖 %s 前，還有 %d 回合或者 %s 分鐘的剩餘時間。"
    // Credit awards
    "TTT_CREDIT_DET_ALL"              "探長，依據您的表現，將獲得 %d 點的信用點數。"
    "TTT_CREDIT_TR_ALL"               "叛徒，依據您的表現，將獲得 %d 點的信用點數。"
    "TTT_CREDIT_KILL"                 "您殺死 %s 而獲得了 %d 點的信用點數"
    // Karma
    "TTT_KARMA_DMG_FULL"              "您的業值為 %s ，因此本回合您擁有造成百分之百傷害的待遇！"
    "TTT_KARMA_DMG_OTHER"             "您的業值為 %s ，因此本回合您造成的傷害將減少 %d %"
    // "TTT_KARMA_KICKED"                            ""
    // "TTT_KARMA_BANNED"                            ""
    // "TTT_KARMA_BANNED_PERM"                       ""
    // Body identification messages
    "TTT_BODY_FOUND"                  " %s 發現了 %s 的屍體。 %s"
    "TTT_BODY_FOUND_T"                "他是一位叛徒！"
    "TTT_BODY_FOUND_D"                "他是一位探長。"
    "TTT_BODY_FOUND_I"                "他是一位無辜者。"
    "TTT_BODY_CONFIRM"                "%s 確認了 %s 的死。"
    "TTT_BODY_CALL"                   "%s 呼喚探長前來檢查 %s 的屍體！"
    "TTT_BODY_CALL_ERROR"             "您必須先確定該玩家的死，才能呼叫探長！"
    "TTT_BODY_BURNING"                "噢！ 這屍體著火了！"
    "TTT_BODY_CREDITS"                "您在屍體上找到 %d 點的信用點數！"
    // Menus and windows
    "TTT_CLOSE"                       "關閉"
    "TTT_CANCEL"                      "取消"
    "TTT_NEXT"                        "下一個"
    "TTT_PREV"                        "上一個"
    // Equipment buying menu
    "TTT_EQUIP_TITLE"                 "裝備"
    "TTT_EQUIP_TABTITLE"              "購買裝備"
    "TTT_EQUIP_STATUS"                "購買選單"
    "TTT_EQUIP_COST"                  "您的信用點數剩下 %d 點。"
    "TTT_EQUIP_HELP_COST"             "您買的每一件裝備都消耗 1 點的信用點數。"
    "TTT_EQUIP_HELP_CARRY"            "您只能在擁有空位時購買物品。"
    "TTT_EQUIP_CARRY"                 "您能攜帶這件裝備。"
    "TTT_EQUIP_CARRY_OWN"             "您已擁有這件裝備。"
    "TTT_EQUIP_CARRY_SLOT"            "已擁有武器欄第 %s 項的武器。"
    "TTT_EQUIP_HELP_STOCK"            "每回合您只能購買一件相同的物品。"
    "TTT_EQUIP_STOCK_DENY"            "這件物品不會再有庫存。"
    "TTT_EQUIP_STOCK_OK"              "這件物品已有庫存。"
    "TTT_EQUIP_SPEC_NAME"             "名字"
    "TTT_EQUIP_SPEC_TYPE"             "類型"
    "TTT_EQUIP_SPEC_DESC"             "描述"
    "TTT_EQUIP_CONFIRM"               "購買裝備"
    // "TTT_EQUIP_TOOLTIP_MAIN"                      ""
    // "TTT_EQUIP_TOOLTIP_RADAR"                     ""
    // "TTT_EQUIP_TOOLTIP_DISGUISE"                  ""
    // "TTT_EQUIP_TOOLTIP_RADIO"                     ""
    // "TTT_EQUIP_TOOLTIP_XFER"                      ""
    // Disguiser tab in equipment menu
    "TTT_DISG_NAME"                   "偽裝物"
    "TTT_DISG_MENUTITLE"              "偽裝控制器"
    "TTT_DISG_NOT_OWNED"              "您無法持有偽裝物！"
    "TTT_DISG_ENABLE"                 "執行偽裝"
    // "TTT_DISG_HELP"                               ""
    // Radar tab in equipment menu
    "TTT_RADAR_NAME"                  "雷達"
    "TTT_RADAR_MENUTITLE"             "雷達控制器"
    "TTT_RADAR_NOT_OWNED"             "您未持有雷達！"
    "TTT_RADAR_SCAN"                  "執行掃描"
    // TODO: GMod and TTTC English translations differ for this key, needs manual review
    "TTT_RADAR_AUTO"                  "自動重複掃描"
    "TTT_RADAR_HELP"                  "掃描結果將顯示 %d 秒，接著雷達充電後您便可以再次使用。"
    "TTT_RADAR_CHARGING"              "您的雷達尚在充電中！"
    // Transfer tab in equipment menu
    "TTT_XFER_NAME"                   "傳送器"
    "TTT_XFER_MENUTITLE"              "傳送餘額"
    "TTT_XFER_NO_CREDITS"             "傳送餘額不足，無法轉移"
    "TTT_XFER_SEND"                   "發送傳送餘額"
    "TTT_XFER_HELP"                   "您只能轉移傳送餘額給 %s 玩家。"
    "TTT_XFER_NO_RECIP"               "接收者無效，傳送餘額轉移失敗。"
    "TTT_XFER_SUCCESS"                "傳送點數成功轉移給 %s ！"
    "TTT_XFER_RECEIVED"               " %s 給予您 %d 點傳送餘額。"
    // Radio tab in equipment menu
    "TTT_RADIO_NAME"                  "收音機"
    "TTT_RADIO_HELP"                  "點擊按鈕，讓收音機播放音樂。"
    "TTT_RADIO_NOTPLACED"             "您必須放置收音機以播放音樂。"
    // Radio soundboard buttons
    "TTT_RADIO_BUTTON_SCREAM"         "尖叫"
    "TTT_RADIO_BUTTON_EXPL"           "爆炸"
    "TTT_RADIO_BUTTON_PISTOL"         "手槍射擊"
    "TTT_RADIO_BUTTON_M16"            "M16步槍射擊"
    "TTT_RADIO_BUTTON_DEAGLE"         "沙漠之鷹射擊"
    "TTT_RADIO_BUTTON_MAC10"          "MAC10衝鋒槍射擊"
    "TTT_RADIO_BUTTON_SHOTGUN"        "散彈射擊"
    "TTT_RADIO_BUTTON_RIFLE"          "狙擊步槍射擊"
    "TTT_RADIO_BUTTON_HUGE"           "M249機槍連發"
    "TTT_RADIO_BUTTON_C4"             "C4嗶嗶聲"
    "TTT_RADIO_BUTTON_BURN"           "燃燒"
    "TTT_RADIO_BUTTON_STEPS"          "腳步聲"
    // "TTT_RADIO_BUTTON_GLOCK"                      ""
    // "TTT_RADIO_BUTTON_SIPIST"                     ""
    // "TTT_RADIO_BUTTON_TELE"                       ""
    // "TTT_RADIO_BUTTON_HEAL"                       ""
    // Intro screen shown after joining
    "TTT_INTRO_HELP"                  "若您是遊戲初學者，可按下F1查看遊戲教學！"
    // Radiocommands/quickchat
    "TTT_QUICK_TITLE"                 "快速聊天按鍵"
    "TTT_QUICK_YES"                   "是。"
    "TTT_QUICK_NO"                    "不是。"
    "TTT_QUICK_HELP"                  "救命！"
    "TTT_QUICK_IMWITH"                "我和 %s 在一起。"
    "TTT_QUICK_SEE"                   "我看到了 %s 。"
    "TTT_QUICK_SUSPECT"               " %s 行跡可疑。"
    "TTT_QUICK_TRAITOR"               " %s 是叛徒！"
    "TTT_QUICK_INNO"                  " %s 是無辜者。"
    "TTT_QUICK_CHECK"                 "還有人活著嗎？"
    "TTT_QUICK_NOBODY"                "沒有人"
    "TTT_QUICK_DISG"                  "有人偽裝了"
    "TTT_QUICK_CORPSE"                "一具未搜索過的屍體"
    "TTT_QUICK_CORPSE_ID"             " %s 的屍體"
    // Body search window
    "TTT_SEARCH_TITLE"                "屍體搜索結果"
    "TTT_SEARCH_INFO"                 "訊息"
    "TTT_SEARCH_CONFIRM"              "確認死亡"
    "TTT_SEARCH_CALL"                 "呼叫探長"
    "TTT_SEARCH_NICK"                 "這是 %s 的屍體。"
    "TTT_SEARCH_ROLE_T"               "這個人是叛徒！"
    "TTT_SEARCH_ROLE_D"               "這個人是探長。"
    "TTT_SEARCH_ROLE_I"               "這個人是無辜的恐怖分子。"
    "TTT_SEARCH_WORDS"                "某些事物讓您了解到此人的遺言： %s"
    "TTT_SEARCH_ARMOR"                "他穿戴非標準裝甲。"
    "TTT_SEARCH_DISG"                 "他持有一個能隱匿身份的設備"
